CarCount,BikeCount,BusCount,TruckCount,Weighted_Traffic_Index,Clearance_Time_min,Clearance_Distance_km,Estimated_Flow_Speed_kmph,EV_Distance_From_Signal_km,Cycle_Position_sec,Current_Signal_State,Queue_Length_m,CarCount_noisy,BikeCount_noisy,BusCount_noisy,TruckCount_noisy,Weighted_Traffic_Index_noisy,Estimated_Flow_Speed_kmph_noisy,Driver_Reaction_Delay_s,Avg_Vehicle_Length_m,Vehicles_In_Queue_est,Saturation_Flow_veh_per_s,Bottleneck_Factor,Truck_Penalty_s,Clearance_Time_model_s_no_noise,Clearance_Time_model_s,Clearance_Time_model_min,Clearance_Distance_model_km,Clearance_Distance_km_final,Clearance_Time_min_final
31,0,4,4,45,3,2,33.25,4.951311699,74,Red,54,30,0,4,4,47.72,36.43,1.728,5.973684211,8,1.4511,1,0.06,7.301059059,7.911,0.132,0.0872,0.8523,1.259
49,0,3,3,59.5,3.97,2.64,31.075,0.565981862,152,Green,71.4,56,0,3,3,64.08,28.28,1.187,5.177419355,12,1.2717,1,0.03,10.65318778,10.313,0.172,0.121,1.1286,1.618
46,0,3,6,62.5,4.17,2.78,30.625,2.85049698,51,Red,75,49,0,3,6,67.75,31.35,1.456,5.612068966,11,1.3172,1,0.065454545,9.872502222,10.896,0.182,0.1265,1.1879,1.726
51,0,2,5,64,4.27,2.84,30.4,3.903843619,14,Red,76.8,53,0,2,5,63.58,30.1,0.3,5.341666667,12,1.3183,1,0.05,9.452632178,8.168,0.136,0.0959,1.1935,1.821
57,6,15,16,114.5,7.63,5.09,22.825,1.092927882,100,Red,137.4,51,6,14,14,112.09,22.28,0.685,6.615294118,18,0.8125,1,0.093333333,22.93217949,24.873,0.415,0.2663,2.1958,3.117
44,0,5,4,59.5,3.97,2.64,31.075,3.790982374,107,Red,71.4,39,0,5,4,50.77,34.71,0.812,5.802083333,10,1.4174,1,0.048,7.915171441,7.219,0.12,0.0814,1.1048,1.612
37,0,1,4,46.5,3.1,2.07,33.025,0.663850024,78,Red,55.8,32,0,1,4,52.45,32.4,0.906,5.486486486,9,1.3877,1,0.053333333,7.444884966,6.967,0.116,0.0747,0.8728,1.263
42,4,4,5,60,4,2.67,31,1.017696281,63,Red,72,47,4,4,5,61.86,27.05,0.804,5.378333333,11,1.1781,1,0.054545455,10.19561362,10.175,0.17,0.106,1.1316,1.637
51,0,9,7,78.5,5.23,3.49,28.225,1.724521417,127,Green,94.2,53,0,9,6,71.51,32.01,0.3,6.022058824,13,1.2661,1,0.055384615,10.62313598,10.463,0.174,0.1197,1.4678,2.25
34,0,4,7,54,3.6,2.4,31.9,4.148162309,139,Green,64.8,36,0,5,8,60.8,35.92,1.154,6.387755102,9,1.3508,1,0.106666667,7.923385056,7.972,0.133,0.0835,1.0101,1.574
45,0,1,1,48.5,3.23,2.16,32.725,3.56824206,146,Green,58.2,39,0,1,1,54.54,34.54,1.217,4.841463415,10,1.6423,1,0.012,7.318021494,7.416,0.124,0.0846,0.9148,1.408
45,0,1,3,52.5,3.5,2.33,32.125,0.684554451,85,Red,63,51,0,1,3,60.2,31.82,1.641,5.027272727,10,1.4663,1,0.036,8.49688679,8.067,0.134,0.0918,0.9871,1.507
50,0,3,0,54.5,3.63,2.42,31.825,1.745372895,2,Red,65.4,55,0,3,0,60.62,27.94,0.685,4.836206897,11,1.3297,1,0,8.957542679,8.085,0.135,0.0943,1.0246,1.614
34,0,4,4,48,3.2,2.13,32.8,2.594729049,160,Green,57.6,31,0,4,4,55.17,35.66,0.652,5.935897436,8,1.4282,1,0.06,6.313456379,6.822,0.114,0.0714,0.8948,1.271
129,22,42,1,205,13.67,9.11,9.25,2.623281447,152,Green,246,117,20,47,1,189.3,8.07,0.3,5.9,36,0.325,0.85,0.003333333,130.6200754,126.701,2.112,1.4716,2.6174,3.769
